w,m
Lester,莱斯特（姓氏+男名）
lightning,闪电 
Lori,罗丽（女名）
lorry,＜英＞卡车（=＜美＞truck）
make use of ,利用+使用
Malaysia ,马来西亚（东南亚国家）+马来群岛
midwestern,中西部的+有中西部特性的
native,本国的+本地的
native,本地人+本国人
Noah Webster,诺厄.韦伯斯特（美国词典编纂家）
northwestern,西北方的+来自西北方的
official,官方的+正式的+公务的
petrol,＜英＞汽油（ = ＜美＞ gasoline ) 
play a part ( in),扮演个角色+参与
recognize,辨认出+承认+公认
request,请求+要求
Samuel Johnson,塞穆尔.约翰逊
Shakespeare,莎士比亚
Singapore ,新加坡（东南亚国家）
southeastern,东南方的+来自东南方的
Spanish,西班牙的+西班牙人的+西班牙语的
Spanish,西班牙人+西班牙语
spelling,拼写+拼法 
straight,直的+笔直的+正直的
straight,直接+挺直
subway,地下人行道+＜美＞地铁
such as,例如……+像这种的
Texas,德克萨斯州（美国州名）
usage ,使用+用法+词语惯用法
vocabulary,词汇+词汇量+词表
voyage,航行+航海
altitude,海拔高度+高处
as usual,照常
at midnight,在午夜
atlas,地图+地图集
attitude,态度+看法
be fond of ,喜爱+喜欢 
bend,弯+拐角
bend,弯身+弯腰
bend,使弯曲
beneath,在……下面 
boil,（指液体）沸腾+（水）开
care about,关心+忧虑
cave,洞穴+地窖 
change one’s mind,改变主意
cycle,骑自行车
delta,三角洲
detail ,细节+详情
determine,决定+确定+下定决心
determined,坚决的+有决心的
disadvantage,不利条件+不便之处
ever since,从那以后
fare,费用 
finally,最后+终于
flame,火焰+光芒
flow,流动+流量
flow,流动+流出
fond,喜爱的+慈爱的+宠爱的
forecast,预测+预报
give in,投降+屈服+让步 
glacier,冰河+冰川
graduate,大学毕业生
graduate,毕业 
insurance,保险
journal,日记+杂志+定期刊物
journey,旅行+旅程
Laos,老挝（东南亚国家）
Laotian,老挝（人）的
Laotian,老挝人
make up one’s mind,下决心+决定
meander,（指河流等）蜿蜒缓慢流动
Mekong,湄公河
midnight,午夜+子夜
organize,组织+成立
pace,一步+速度+步调
pace,缓漫而行+踱步
parcel,小包+包裹
persuade,说服+劝说
pillow,枕头+枕垫
prefer,更喜欢+选择某事物（而不选择其他事物）
Qomolangma,珠穆朗玛峰
rapids,激流
reliable,可信赖的+可靠的
route,路线+路途 
schedule,进度表 
schedule,为某事安排时间
shortcoming,缺点
source,来源+水源
stubborn,顽固的+固执的
temple,庙宇+寺庙
Tibetan,西藏的+藏族的+藏族人的
Tibetan,（西）藏语+西藏人+藏族人
transport,运送+运输 
transport,运输+运送
valley,（山）谷+流域
view,风景+视野+观点+见解
view,观看+注视+考虑
waterfall,瀑布 
wool,羊毛+毛织
yak,牦牛
a(great)number of,许多+大量的
as if ,仿佛+好像
at an end,结束+终结
bar,条+棒+条状物
brick,砖+砖块
burst,突然破裂+爆发 
burst,爆裂+爆发
bury,埋葬+掩埋+隐藏
canal,运河+水道
congratulation,祝贺+（复数）贺词 
crack,裂缝+劈啪声
crack,（使）开裂+破裂
cyclist,骑自行车的人
dam,水坝+堰堤 
damage,损失+损害
destroy,破坏+毁坏+消灭
dirt,污垢+泥土
disaster,灾难+灾祸
earthquake,地震 
electricity,电+电流+电学
event,事件+大事
express,快车+速递 
express,表示+表达
extreme,极度的
farmyard,农场+农家
frighten,使惊吓+吓唬
frightened,受惊的+受恐吓的
frightening,令人恐俱的
headline,报刊的大字标题
in ruins,严重受损+破败不堪
injure ,损害+伤害
judge,裁判员+法官
judge,断定+判断+判决 
million,百万
mine,矿+矿山+矿井
miner,矿工
nation,民族+国家+国民
outline,要点+大纲+轮廓 
pipe,管+导管
quake,地震 
reporter,记者
rescue ,援救+营救
right away,立刻+马上
ruin,废墟+毁灭
ruin,毁灭+使破产
shelter,掩蔽+掩蔽处+避身处
shock,休克+打击+震惊
shock,（使）震惊+震动
sincerely,真诚地+真挚地
smelly,发臭的+有臭味的
steam,蒸汽+水汽
suffering,苦难+痛苦
survivor,幸存者+生还者+残存物
title,标题+头衔+资格 
track,轨道+足迹+痕迹
trap,陷阱+困境
trap,使陷入困境
useless,无用的+无效的+无益的
well,井
active,积极的+活跃的 
ANC,非国大+非洲人国民大会+非洲民族会议（African National Congress)
anti-,[前缀] 反+抗+阻
anti-black,反黑人的
as a matter of fact,事实上
attack,进攻+攻击+抨击
be sentenced to ,被判处……（徒刑）
beg,请求+乞求
Bible,《圣经》
blanket,毛毯+毯子
blow up,使充气+爆炸
Cape Town,开普敦（南非立法首都）
come to power,当权+上台
cruelty,残忍+残酷
devote,（与to连用）献身+专心于
devoted,忠实的+深爱的
easygoing,随和的+温和宽容的 
educate,教育+训练
educated,受过教育的+有教养的
Elias,伊莱亚斯（男名）
equal,相等的+平等的
escape,逃脱+逃走+泄露
fee,费（会费、学费等）+酬金
found,建立+建设
generous,慷慨的+大方的
giant,巨大的+庞大的
guidance,指导+领导
hopeful,有希望的 
in trouble,在危险、受罚、痛苦、忧虑的处境中
invader,侵略者
Johannesburg,约翰内斯堡（南非城市）
layer,律师
league,同盟+联盟+联合会 
leap,飞跃+跳跃
legal,法律的+依照法律的
livehood,生计+谋生
lose heart,丧失勇气或信心
mankind,人类
mean,吝啬的+自私的+卑鄙的
Mohandas,莫罕达斯.甘地（印度国民大会党领袖）
nationalism,民族主义+国家主义
Nelson Mandela ,纳尔逊.曼德拉（前南非共和国总统）
Nobel Peace Prize,诺贝尔和平奖
Norman Bethune,诺曼. 白求恩（加拿大胸外科医师）
opinion ,意见 看法 主张 
out of work,失业
passbook,南非共和国有色人种的身份证 
peaceful,和平的+平静的+安宁的
president,总统+会长+校长+行长 
principle,法则+原则+原理
quality,质量+品质+性质
quote,引用语+语录
relative,亲戚+亲属
release,释放+发行
republic,共和国+共和政体
reward,报酬+奖金
reward,酬劳+奖赏
Robben Island,罗本岛
self,自我+自身 
selfish,自私的
selfless,无私的+忘我的
sentence,判决+宣判
set up,建立
stage,舞台+阶段+时期 
terror,恐怖+可怕的人+恐怖时期+恐怖活动
Transkei,特兰斯凯（南非东南部一地区）
turn to,求助于+致力于
unfair,不公正的+不公平的
violence,暴力+暴行 
vote,投票+选票+表决
vote,投票+选举
warm-hearted,热心的
William Tyndale,威廉.廷代尔（英国早期新教改革者）
willing,乐意的+自愿的
youth,青年+青年时期
Youth League,青年团
amaze,吃惊+惊讶
amazing,令人吃惊的
amber,琥珀
Anna Petrov,安娜．帕特洛夫（女名）
apart,分离地+分别地
artist,艺术家
at war,处于交战状态
belong,属于+为……的一员
belong to,属于
Berlin,柏林（德国首都）
castle,城堡
Catherine II,叶卡捷琳娜二世（俄国女皇）
cultural,文化的
Czar,沙皇
Czech Republic,捷克共和国（东欧国家）
debate,争论+辩论
debate,争论+辩论
decorate,装饰+装修
design,设计+图案+构思
design,设计+计划+构思
doubt,怀疑+疑惑
doubt,怀疑+不信 
dragon,龙
dynasty,朝代+王朝
entrance,入口
evidence,根据+证据
explode,爆炸 
eyewitness,目击者+证人
fancy,奇特的+异样的
fancy,想象+设想+爱好
former,以前的+从前的 
Frederick William,腓特烈．威廉一世（普鲁士国王）
Hans Braun,汉斯．布朗（男名）
honey,蜜+蜂蜜
in return,作为报答+回报
in search of,寻找
informal,非正式的
ivory,象牙
Jan Hasek,简．哈兹克（男名）
jewel,珠宝+宝石
Johann Webber,约翰．韦伯（男名）
Konigsberg,格尼斯堡（俄罗斯港市Kalingingrad的旧称）
Leningrad,列宁格勒（苏联城市）
less than,少于
local,本地的+当地的
maid,少女+女仆
mystery,神秘+神秘的事物
painting,绘画+画
Peter the Great,彼得大帝（俄国皇帝）
Prussia,（史）普鲁士（位于北欧）
rare,稀罕的+稀有的+珍贵的
rebuild,重建
reception,接待+招待会+接收
relic,遗物+遗迹+纪念物 
remove,移动+搬开
sailor,水手+海员+船员
select,挑选+选择
sink,下沉+沉下
St Petersburg,圣彼得堡（俄罗斯城市）
style,风格+风度+类型 
survive,幸免+幸存+生还
Taj Mahal,泰姬陵
take apart,拆开
the Blatic Sea,波罗的海
think highly of,看重+器重
trial,审判+审讯+试验
troop,群+组+军队
valuable,贵重的+有价值的
vase,花瓶+瓶 
Windsor Castle,温莎城堡（英国著名城堡）
wooden,木制的
worth,（古）值钱的
worth,价值+作用
worth,值得的+相当于……的价值
admit,容许+承认+接纳
advertise,做广告+登广告
ancient,古代的+古老的
as well,也+又+还
Athens,雅典（希腊首都）
athlete,运动员+运动选手
athletics,(pl)体育运动+竞技
Atlanta,亚特兰大（女名+城市名）
bargain,便宜货
bargain,讨价还价+讲条件
basis,（pl bases)基础+根据
charge,费用+主管 
charge,收费+控诉
compete, 比赛+竞争
competitor,竞争者
deserve,应受+值得
fine,罚款
foolish,愚蠢的+傻的
glory,光荣+荣誉
goddess,女神
Greece,希腊 
Greek,希腊人的+希腊语的
Greek,希腊人+希腊语
gymnasium ( gym ),体育馆+健身房
gymnastics,(pl)体操+体能训练
Hippomenes,希波墨涅斯（男名+古希腊人名）
homeland,祖国+本国
hopeless,没有希望的+绝望的
host,主人
host,做东+主办+招待
in charge,主管+看管
magical,巫术的+魔术的+有魔力的 
mascot,吉祥物
medal,奖章+勋章+纪念章
motto,座右铭+格言+警句
nowadays,现今+现在
olive,橄榄树+橄榄叶+橄榄枝+橄榄色
one after another,陆续地+一个接一个地
pain,疼痛+痛苦
Pausanias,帕萨尼亚斯（男名+古希腊人名）
physical,物理的+身体的
poster ,海报+招贴
prince,王子
princess,公主
regular ,规则的+定期的+常规的
replace,取代+替换+代替
responsibility,责任+职责
similarity,相像性+相似点
slave,奴隶
stadium,（露天大型）体育场(pl stadiums or stadia)
stand for,代表+象征+表示
striker,敲击者+（足球的）前锋
swift ,快的+迅速的
take part in,参加+参与
volunteer,志愿的+义务的
volunteer,志愿者+志愿兵
volunteer,自愿
wreath,花圈+花冠+圈状物
abacus,算盘
Alan Turing ,艾伦．图灵（英国数学家）
analytical,分析的
android,机器人
anyhow,（也作 anyway）无论如何+即使如此
appearance,外观+外貌+出现
application,应用+用途+申请
arise ,出现+发生 
artificial,人造的+假的
as a result,结果
calculate,计算 
calculator,计算器 
character,性格+特点
Charles Babbage,查尔斯．巴比奇（英国数学教授）
chip,碎片+芯片
coach,教练
deal with ,处理
designer,设计师
download,下载 
electronic,电子的
explore,探索+探测+探究 
finance,金融+财经
from … on ,从……时起
goal ,目标+目的+球门+（进球）得分
happiness,幸福+快乐
human rare,人类
in a way,在某种程度上
intelligence,智力+聪明+智能
intelligent,智能的+聪明的
laptop,手提电脑 
logical,逻辑的+合情理的
logically,逻辑上+合逻辑地+有条理地
Mars,火星
mathematical,数学的
mobile,可移动的+机动的
mop,拖把
mop,用拖把拖+擦
Nagoya,名古屋（日本城市）
naughty,顽皮的+淘气的
network,网络+网状物
niece,侄女 
operator,（电脑）操作员+接线员 
PC(= personal computer),个人电脑+个人计算
PDA (personal digital assistant),掌上电脑+个人数码助理 
personal,私人的+个人的+亲自的
personally,就个人而言+亲自
programmer,程序员+程序师 
reality,真实+事实+现实
revolution,革命
rocket,火箭 
Seattle,西雅图（美国城市）
signal,信号
signal,发信号+信号
simplify,简化
so … that …,如此……以致于……
solve,解决+解答
spoil ,损坏
sum,总数+算术题+金额 
supporting,支持的+支撑的
teammate,同伴+伙伴
technological,科技的
technology,工艺+科技+技术
total,总的+整个的
total,总数+合计
transistor ,晶体管
tube,管+管子+电子管
type,类型
type,打字
universal, 普遍的+通用的+宇宙的
virus,病毒
watch over,看守+监视 
web,网
with the help of,在……的帮助下
according to ,按照+根据……所说 
affect,影响+感动+侵袭
antelope,羚羊
appreciate,鉴赏+感激+意识到
attention,注意+关注+注意力 
bite,叮+咬+刺痛
burst into laughter,突然笑起来+大声笑了出来 
carpet,地毯
certain,确定的+某一+一定
Colobus monkey,（非洲产）疣猴+髯猴
come into being ,形成+产生
contain,包含+容纳+容忍
count,县+郡
Daisy,戴茜（女名）
decrease,减少
dinosaur,恐龙
disappearance,消失
distant,远的+远处的
dust ,灰尘+尘土 
employ,雇佣+利用
endanger,危害+使受到危险
ending,结局+结尾
extinction,灭绝+消亡 
faithfully,忠诚地+忠实地
fierce,凶猛的+猛烈的 
fur,毛皮+毛+软毛
habitat,栖息地
harm,损害+危害
hunt,打猎
importance,重要（性）
in danger (of),在危险中+垂危
in peace,和平地
in relief ,如释重负+松了口气
incident,事件+事变
income,收入
Indonesia,印度尼西亚
insect,昆虫
inspect,检查+视察
laughter,笑+笑声
loss,损失
Mautitius,毛里求斯（非洲东部岛国）
mercy ,仁慈
millipede,(=millepede)千足虫
Milu,麋鹿
mosquito,蚊子
pay attention to,注意
powerful,强大的+有力的
protect…from,保护……不受……（危害）
protection,保护
relief,（痛苦或忧虑的）减轻或解除+减轻痛苦的事物 
reserve ,保护区
respond,回答+相应
rhino,犀牛
rub,擦+摩擦
secure,安全的
so that,以致于+结果
species,种类+物种 
succeed,成功
succeed,接替+继任
threaten,恐吓
unexpected,没料到的+意外的
wide,野生的+野的+未开发的+荒凉的
wildlife,野生动植物
WWF(World Wildlife Fund),世界野生生物基金会
Zimbabwe,津巴布韦（非洲东南部国家）
zone,地域+地带
above all,最重要+首先
actor,男演员+行动者
addition,加+增加+加法
afterwards,然后+后来
attach ,系上+附加+敷上+连接+连接
attach… to,认为有（重要性、意义）+附上+连接
attractive,吸引人的+有吸引力的
ballad,歌谣+情歌+民谣
be/get familiar with ,熟悉+与……熟悉起来 
beard,胡须
break up,打碎+分裂+解体
brief ,简短的+简要的
brief ,摘要+大纲
briefly,简要地+短暂地
broadcast,广播+播放
broadcast,(broadcast+broadcast)广播+播放
cash ,现金
choral,唱诗班的+合唱队的
classical,古典的+古典文艺的
confident,自信的+确信的
devotion,投人+热爱
dip,浸+蘸 
earn,赚+挣得+获得
excitement,兴奋+刺激
extra ,额外的+外力
fame,名声+名望
familiar,熟悉的+常见的+亲近的 
folk,民间的 
form,组成+形成+构成 
Freddy,弗雷德（男名）
humorous,幽默的+诙谐的
in addition,另外+也
in cash ,用现金+有现钱 
instrument,工具+器械+乐曲
invitation,邀请+招待
jazz,爵士音乐
karaoke,卡拉OK录音+自动伴奏录音
lily,百合花 
millionaire,百万富翁+富豪
musician ,音乐家
or so,大约
orchestra,管弦乐队
overnight,在晚上+在夜里+（口）很快+一夜之间
painful,痛苦的+疼痛的
passer-by,过路人+行人
perform,表演+履行+执行
performance,表演+演奏
play jokes on,戏弄
pretend,假装+假扮 
pub,酒馆+酒吧
rap,说唱乐
rely,依赖+依靠 
rely on,依赖+依靠
reunite,再统一+再联合+重聚
rock 'n' roll(rock and roll),摇滚乐
roll,摇晃+卷+卷形物+面包圈
roll,滚动+摇摆
sensitive,敏感的+易受伤害的+灵敏的
sort out,分类 
studio,工作室+演播室
tadpole,蝌蚪
the Monkees ,门基乐队
to be honest,说实在地+说实话 
admire,赞美+钦佩+羡慕
agricultural,农业的+农艺的
agriculture,农业+农艺+农学
ancestor,祖先+祖宗
announcer,广播员+告知者+报幕员
apologize,道歉+辩白
arrival,到来+到达+到达者
as though,好像
award,奖+奖品
award,授予+判定
beauty,美+美人
belief,信任+信心+信仰
blossom,花+开花
bone,骨+骨头
Carla,卡拉（女名）
carnival,狂欢节+（四旬斋前的）饮宴狂欢+嘉年华（会）
celebration,庆祝+祝贺
cherry,樱桃+樱桃树
Christian,基督教的+信基督教的
Christian,基督徒+信徒
Christopher Columbus,克利斯托福哥伦布（意大利航海家）
clothing,衣服
Columbus Day,哥伦布日
custom,习惯+风俗
day and night,日夜+昼夜+整天
drown,淹没+淹死+溺死
Easter,（耶稣）复活节
energetic,充满活力的+精力充沛的+积极的
fashion,样子+方式+时尚
feast,节日+盛宴
fool,傻的
fool,愚人+白痴+受骗者
fool,干傻事+开玩笑
fool,愚弄+欺骗
forgive,原谅+饶恕
gain,获得+得到
gather,集合+搜集+聚集
gather,集合+搜集+聚集
gather,集合+搜集+聚集
grave,坟墓+墓地
Halloween,万圣节前夕+诸圣日前夕
Hari,哈利（男名）
harvest,收获+收割
have fun with,玩得开心
herd,牧群+兽群
hold one's breath,屏息+屏气
hunter,狩猎者+猎人
in memory of,纪念+追念
incense,熏香+熏香的烟
independence,独立+自主
independent,独立的+自主的
Jusus,耶稣
keep one's word,守信用+履行诺言
look forward to,期望+期盼+盼望
lunar,月的+月亮的+阴历的
magpie,喜鹊
Mexico,墨西哥（拉丁美洲国家）
necessity,必要性+需要
Obon,（日本 ）盂兰盆节
obvious,明显的+显而易见的
origin ,起源+由来+起因
parade,游行+阅兵+检阅
parking,（汽车等）停放
parking lot,停车场
permission,许可+允许
play a trick on,搞恶作剧+诈骗+开玩笑
poet,诗人
prediction,预言+预报+预告
produce,产品（尤指）农产品
religious,宗教上的+信奉宗教的+虔诚的
remind,提醒+使想起
remind…of…,使……想起……
rooster,雄禽+公鸡
rosebud,玫瑰花蕾
sadness,悲哀+悲伤
seasonal,季节的+季节性的
set off,出发+动身+使爆炸
skull,头脑+头骨
starve,（使）饿死+饿得要死
starve,（使）饿死+饿得要死
take place,发生
the Milky Way,银河
trick ,诡计+恶作剧+窍门
trick ,欺骗+诈骗
Trinidad,特立尼达岛
turn up,出现+到场
Valentine's Day,圣瓦伦廷节+情人节
weave,编织+（使）迂回前进
weave,编织+（使）迂回前进
weep,哭泣+流泪
wipe,擦+揩+擦去
worldwide,遍及全世界的+世界性的
bacon,熏咸肉+腊肉
balance,天平+平衡
balance,平衡+权衡
balanced diet,平衡膳食
barbecue,烧烤+烤肉
barbecue,烧烤+烤肉
bean,豆+豆科植物
before long,不久以后
benefit,利益+好处
benefit,有益于+有助于+收益
benefit,有益于+有助于+收益
breast,胸部+乳房
carrot,胡萝卜
cola,可乐饮料
combine,（使）联合+（使）结合
combine,（使）联合+（使）结合
consult,咨询+请教+商量
cooperation,合作+协作
cucumber,黄瓜
curiosity,好奇心
customer,顾客+消费者
cut down,消减+删节
debt,债+债务
diet,日常饮食
diet,节食
digest,摘要+概要
digest,消化
digest,消化
discount,折扣
earn one's living,谋生
eggplant,茄子
fibre,纤维+纤维制品
flavour ,（食物的）味道与气味+特性
fry,油煎+油炸
fry,油煎+油炸
garlic,大蒜
get away with,被放过+（做坏事）不受惩罚
glare,怒视+炫目的光
glare,怒目而视+闪耀
hostess,女主人+女主持人
in debt,欠债
ingredient,（烹调用的）材料+原料+成分
kebab,(=kabob)（印度）烤腌羊肉串+肉串上的肉块
lemon,柠檬
lie,谎话+谎言
lie,说谎
limit,界限+限度
limit,限制+限定
limited,有限的
lose weight,体重减轻+减肥
muscle,肌肉+（实用）瘦肉
mushroom,蘑菇
mutton,羊肉
nut,坚果+果仁
obesity,过度肥胖
ought,应当+应该
ought to,应当+应该
pea,豌豆
peach,桃子
pepper,辣椒+辣椒粉
poisonous,有毒的
protective,给予保护的+保护的
protein,蛋白质
put on weight,增加体重
raw,生的+未加工的
rickets,佝偻病
roast,烤制的
roast,烤+烘+烘烤
roast,烤+烘+烘烤
scurvy,坏血病
sigh,叹息+叹息声
sigh,叹息+叹气
sign,牌示+标记+符号
slim,苗条的+纤细的
slim,变细+减肥
spaghetti,意大利式细面条
spy,间谍+侦探
spy,窥探+秘密监视
spy,窥探+秘密监视
spy on ,暗中监视+侦查
stir,摇动+搅和
stir-fry,用旺火炒（或煎、煸）
strength,强项+长处+力量
sugary,含糖的+甜的
tell a lie,说谎
vinegar,醋
vitamin,维生素
weakness,缺点+虚弱+弱点
win…back,赢回+重新获得
account,说明+理由+计算+账目
account,认为+说明+总计有
account,认为+说明+总计有
account for,导致+做出解释
adventure,奇遇+冒险
ahead,在前+向前+提前
amount,数量
as for,关于+至于
author,著者+作家
barber,理发师
bay,海湾
bet,赌+打赌
bet,打赌+赌钱
bet,打赌+赌钱
birthplace,出生+地故乡
bow,鞠躬+弯腰
bow,鞠躬+弯腰
boyhood,少年时代
bring up,抚养+培养+教育+提出
businessman,伤人
by accident,前进+无意中+不小心
charity,慈善（团体)+施舍
contrary,相反的+相违的
contrary,反面+对立面
dessert,餐后甜点
embassy,大使馆+大使及其官员
envelope,信封
fake,假的
fake,假货+欺骗
fathom,长度单位
fault,过错+缺点+故障
Florida,佛罗里达镇（位于密苏里州）佛罗里达州（美国州名）
genuine,真的+真诚的
go ahead,前进+（用于祈使句)可以+往下说
Hannibal,汉尼拔（美国城市）
Horace,霍勒斯（男名)
Huckleberry Finn,哈克贝利·费恩（人名）
in rags,衣衫褴褛
indeed,真正地+确实+实在
issue,发行（钞票等）+发布（命令)+出版（杂志等）
issue,发行（钞票等）+发布（命令)+出版（杂志等）
make a bet,打赌
manner,礼貌+举止+方式
Mark Twain,马克·吐温（美国作家）
Mississippi,密西西比河+密西西比州（美国州名）
Missouri,密苏里州(美国州名）
narrator,讲述着+叙述者
nightfall,黄昏
novel,新奇的+异样的
novel,小说+长篇故事
Oliver,奥利弗（男名）
on the contrary,与此相反+正相反
passage,船费（包括食宿)+通道+（一）段
patience,耐性+忍耐
pavement,人行道（= <美> sidewalk )
penniless,贫困的+身无分文的
permit,通行证+许可证+执照
permit,许可+允许+准许
permit,许可+允许+准许
phrase,短语+词组+惯用语
pineapple,菠萝
rag,破布+碎布
Roderick,罗德里德
rude,粗鲁的+无礼的
Samuel Langhorne Clemens,塞缪尔·兰霍恩·克莱门斯
scene,（戏剧）一场+现场+场面+景色
scream,尖叫声+喊叫声
scream,尖叫
seek,寻找+探索+寻求
seek,寻找+探索+寻求
spot,发现+认出
stare,凝视+盯着看
stare at,盯着看+凝视
steak,肉块+鱼排+牛排
take a chance,冒险
Tom Sawyer,汤姆·索亚（人名）
unbelievable,难以置信的
unpaid,未付款的+不受报酬的
wander  ,漫游+漫步+漂泊
acid,酸
Albert Einstein,阿尔伯特 爱因斯坦（德裔美国科学家）
amphibian,两栖动物
astronomer,天文学家
astronomy,天文学
atmosphere,大气层+气氛
atom,原子
Big Bang,宇宙大爆炸+创世大爆炸
billion,<英>万亿+<美>十亿
billion,<英>万亿+<美>十亿
billion,<英>万亿+<美>十亿
biology,生物学
biology,生物学家
block out,挡住（光线）
break out,突发+爆发
cabin,小屋+船舱
carbon,碳
carbon dioxide,二氧化碳
chain,链子+连锁+锁链
cheer up,感到高兴+感到振奋
climate,气候
comet,彗星
crash,碰撞+坠落
crash,碰撞+坠落
dinosaur,恐龙
dioxide,二氧化物
dissolve,溶解+解散
dissolve,溶解+解散
exhaust,用尽+耗尽+使筋疲力尽
exist,存在+生存
extinct,灭绝的+绝种的
float,漂浮物
float,（使）浮动+（使）漂浮
float,（使）浮动+（使）漂浮
fundamental,基本的+基础的
gentle,温和的+文雅的
geologist,地质学家
get the hang of,熟悉+掌握+理解
give birth to,产生+分娩
global,全球性的+全世界的
globe,球体+地球仪+地球
gravity,万有引力+重力
harmful,有害的
in one's turn,轮到某人+接着
in time,及时+终于
Isaac Newton,艾萨克 牛顿（英国科学家）
lay eggs,下蛋
lessen,减少+减轻
lessen,减少+减轻
mammal,哺乳动物
multiply,乘+增加
nitrogen,氮
now that,既然
oxygen,氧
physicist,物理学家
presence,出席+到场+存在
prevent...from,阻止+制止
pull,拉（力）+拖+牵引力
pull,拉（力）+拖+牵引力
puzzle,谜+难题
puzzle,（使）迷惑+（使）为难
puzzle,（使）迷惑+（使）为难
reaction,反应+回应
religion,宗教+宗教信仰
reptile,爬行动物+爬虫
satellite,卫星+人造卫星
shellfish,水生有壳动物
solar,太阳的+日光的
solar systerm,太阳系
spaceship,宇宙飞船
Stephen Hawking,斯蒂芬 霍金（英国科学家）
system ,系统+体系+制度
theory,学说+理论
thus,因此+于是
unlike,不同+不像
vapour ,(=vapor）蒸汽+水蒸气
violent,猛烈地+激烈的+强暴的
watch out,密切注视+当心+提防
weightlessly,失重地
aboard,在船-飞机-火车或公共汽车上
acre,英亩
approximately,接近+大约
baggage,行李
beaver,海狸
booth,公用电话间+货摊+售货亭
border,边界+国界+边沿
border,与……接壤+接近
border,与……接壤+接近
broad,宽阔的+广泛的
buffet,自助餐+饮食柜台
bush,灌木（丛）+矮树（丛）
Calgary,卡尔加里（加拿大城市）
Canadian,加拿大的+加拿大人的
Canadian,加拿大人
Cantonese,广州人的+广东人的+广东话的
Cantonese,广州人+广东人+广东话
catch sight of ,看见+瞥见
chat,聊天+闲聊
chat,聊天+闲聊
confirm,证实+证明+批准
continent,洲+大陆
cowboy,牛仔+牧童
dawn,黎明+拂晓+破晓
distance,距离+远方
downtown,市区的
downtown,在市区+往市区
eagle,鹰
eastward,向东的+朝东的
eastward,向东
frost,霜+霜冻
governor,州长+总督
grizzly,灰色的+有灰斑的
grizzly,（北美洲）灰熊
harbour,(=harbor)海港
have a gift for,对……有天赋
impress,使印象深刻+使铭记
impressive,给人深刻印象的+感人的
in the distance,在远处
Lake Superior,苏必利尔湖
location,位置+地方
manage to do,设法做
maple,枫+枫树
measure,计量制+计量单位+措施
measure,测量+衡量+判定
measure,测量+衡量+判定
minister,大臣+部长
mist,薄雾
misty,有薄雾的+模糊的
mix,混合+调配 
mix,混合+调配 
mixture,混合(物)+混合状态
multicultural,多种文化的
nearby,附近的+邻近的
nearby,在附近
